ts_event,symbol,best_level_ofi,integrated_ofi,multi_level_ofi
2024-10-21 11:54:29.223769812+00:00,AAPL,2,-9.789657362638307,2
2024-10-21 11:54:29.225030400+00:00,AAPL,3,-9.732561030435594,3
2024-10-21 11:54:29.712434212+00:00,AAPL,0,48.667877138174205,200
2024-10-21 11:54:29.764673165+00:00,AAPL,0,-68.47557719226168,-200
2024-10-21 11:54:29.764685027+00:00,AAPL,0,62.40577553791661,410
2024-10-21 11:54:36.289427977+00:00,AAPL,0,181.7887269769509,799
2024-10-21 11:54:37.990793976+00:00,AAPL,200,1.5154164134990076,200
2024-10-21 11:54:39.124291588+00:00,AAPL,-1,-351.7626265787276,-1212
2024-10-21 11:54:39.134140341+00:00,AAPL,1,331.9549265246401,1212
2024-10-21 11:54:41.233181043+00:00,AAPL,-3,-10.075139023651875,-3
2024-10-21 11:54:41.234620509+00:00,AAPL,1,-9.846753694841022,1
2024-10-21 11:54:41.235907431+00:00,AAPL,-1,-9.960946359246448,-1
2024-10-21 11:54:41.235977207+00:00,AAPL,-2,-10.018042691449162,-2
2024-10-21 11:54:41.238618235+00:00,AAPL,2,234.28547570363673,924
2024-10-21 11:54:41.239827037+00:00,AAPL,3,-9.732561030435594,3
2024-10-21 11:54:50.970297264+00:00,AAPL,0,-289.33496946070176,-1024
2024-10-21 11:54:50.970336474+00:00,AAPL,0,-26.95799465481938,-29
2024-10-21 11:54:53.247532557+00:00,AAPL,-3,-10.075139023651875,-3
2024-10-21 11:54:53.248893986+00:00,AAPL,-2,-254.09317575772423,-924
2024-10-21 11:54:53.251320969+00:00,AAPL,3,-9.732561030435594,3
2024-10-21 11:54:53.252546517+00:00,AAPL,2,-9.789657362638307,2
2024-10-21 11:54:55.503497741+00:00,AAPL,0,-140.49320044486643,-428
2024-10-21 11:54:55.503541005+00:00,AAPL,0,120.09742643809703,427
2024-10-21 11:54:55.551806996+00:00,AAPL,0,59.47718917965571,400
2024-10-21 11:54:58.132928650+00:00,AAPL,0,-228.13517113340075,-800
2024-10-21 11:54:58.133944065+00:00,AAPL,0,-44.59436963039346,-200
2024-10-21 11:55:09.125042325+00:00,AAPL,0,-212.21475205714486,-837
2024-10-21 11:55:09.125055670+00:00,AAPL,0,192.40705200305737,837
2024-10-21 11:55:09.160009889+00:00,AAPL,0,7.150294600731911,29
2024-10-21 11:55:09.160051447+00:00,AAPL,0,-17.811033194348155,-27
2024-10-21 11:55:13.899151539+00:00,AAPL,0,59.47718917965571,400
2024-10-21 11:55:22.016715475+00:00,AAPL,0,-139.9051264921845,-427
2024-10-21 11:55:22.060173668+00:00,AAPL,0,120.09742643809703,427
